model,oyear,horizon,cov90,cov50,n,origins,region,assessed,in_band,target
m1_lightgbm_v3_raw+dtaci,2018,3,0.9118015012510425,0.4768557130942452,4796,9,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2018,4,0.8800335570469798,0.40604026845637586,4768,9,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2018,5,0.9057955742887249,0.4166491043203372,4745,9,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2018,6,0.9108387914641877,0.37798436509613353,4733,9,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2019,1,0.8685855263157894,0.44605263157894737,6080,12,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2019,2,0.8751032545845036,0.4458945977201388,6053,12,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2019,3,0.8623837981407703,0.4438911022576361,6024,12,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2019,4,0.8802111778627344,0.47933733843073,5493,11,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2019,5,0.8670822441182385,0.47858435551980694,4973,10,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2019,6,0.8755029056772463,0.5084935181046044,4474,9,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2020,1,0.852882703777336,0.3687872763419483,1006,2,assessable,False,False,all
m1_lightgbm_v3_raw+dtaci,2020,2,0.734,0.314,500,1,assessable,False,False,all
m1_lightgbm_v3_raw+dtaci,2021,1,0.9341210168277837,0.48621553884711777,2793,6,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2021,2,0.9572710951526032,0.5741472172351885,2785,6,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2021,3,0.9593525179856115,0.7593525179856115,2780,6,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2021,4,0.9546436285097192,0.796976241900648,2778,6,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2021,5,0.9570861882437793,0.7991345113595384,2773,6,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2021,6,0.9475777295733911,0.7866955892986262,2766,6,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2022,1,0.9036231884057971,0.4989130434782609,5520,12,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2022,2,0.9092558983666061,0.5190562613430127,5510,12,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2022,3,0.9241818181818182,0.494,5500,12,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2022,4,0.9382513661202185,0.5320582877959927,5490,12,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2022,5,0.9425392192630427,0.5638453119299526,5482,12,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2022,6,0.9432067202337473,0.5611760409057707,5476,12,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2023,1,0.9107272727272727,0.5394545454545454,5500,12,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2023,2,0.9236111111111112,0.551984126984127,5040,11,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2023,3,0.9170486793276578,0.5579567779960707,4581,10,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2023,4,0.893498301795245,0.4978165938864629,4122,9,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2023,5,0.8731933460594491,0.4734115080447232,3667,8,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2023,6,0.8592777085927771,0.46731008717310085,3212,7,assessable,True,False,all
m1_lightgbm_v3_raw+pooled,2018,1,0.9007854485324515,0.4491525423728814,4838,9,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2018,2,0.8813278008298755,0.4037344398340249,4820,9,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2018,3,0.9001251042535446,0.41555462885738115,4796,9,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2018,4,0.8791946308724832,0.3695469798657718,4768,9,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2018,5,0.901791359325606,0.3898840885142255,4745,9,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2018,6,0.9009085146841327,0.36023663638284387,4733,9,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2019,1,0.8583881578947369,0.40411184210526313,6080,12,assessable,True,False,all
m1_lightgbm_v3_raw+pooled,2019,2,0.87906823062944,0.38922848174458946,6053,12,assessable,True,True,all
m1_lightgbm_v3_raw+pooled,2019,3,0.8590637450199203,0.38247011952191234,6024,12,assessable,True,False,all
m1_lightgbm_v3_raw+pooled,2019,4,0.8805752776260696,0.3810304023302385,5493,11,assessable,True,True,all
